frame,x,y,z,numObj,rangeIdx,range,dopplerIdx,doppler,peakVal
0,"[-0.17578125  0.57226562 -0.16210938 -0.33398438 -0.38085938  1.72265625
  1.7578125  -0.31640625  1.71875     1.56835938 -0.31640625  0.43945312
 -0.40039062 -0.19335938  0.58984375  0.4921875 ]","[0.27734375 0.         0.16796875 0.35742188 0.37890625 0.
 0.         0.27148438 1.5703125  1.74414062 0.42382812 0.
 0.45898438 0.16796875 0.         0.        ]","[ 0.45703125 -0.59570312  0.4609375   0.27734375  0.28710938  2.265625
  2.3125      0.37695312  0.54296875  0.46289062  0.19140625  0.45703125
  0.0234375   0.5        -0.57421875 -0.50585938]",16,[12 13 11 12 13 49 50 12 51 51 12 12 13 12 13 12],"[0.5625   0.609375 0.515625 0.5625   0.609375 2.296875 2.34375  0.5625
 2.390625 2.390625 0.5625   0.5625   0.609375 0.5625   0.609375 0.5625  ]",[ 0  0  1  1  1  1  1  2  2  5 -1  0  0  1  1  2],"[ 0.          0.          0.12526054  0.12526054  0.12526054  0.12526054
  0.12526054  0.25052108  0.25052108  0.62630271 -0.12526054  0.
  0.          0.12526054  0.12526054  0.25052108]",[ 4  3 10 10 11  8  8  4 10  8  9  3  3 10  6  3]
0,"[-0.33398438 -0.38085938  1.64453125  1.59960938  1.71875     1.64453125
 -0.29882812 -0.29882812 -0.171875  ]","[0.42773438 0.45117188 1.73046875 1.8359375  1.66210938 1.72851562
 0.4765625  0.47070312 0.41796875]","[ 0.14648438  0.1484375  -0.140625   -0.11328125  0.01171875  0.17382812
 -0.03125     0.07617188 -0.41015625]",9,[12 13 51 52 51 51 12 12 13],"[0.5625   0.609375 2.390625 2.4375   2.390625 2.390625 0.5625   0.5625
 0.609375]",[ 1  1  2  2  4  5 -1  1  1],"[ 0.12526054  0.12526054  0.25052108  0.25052108  0.50104217  0.62630271
 -0.12526054  0.12526054  0.12526054]",[6 9 8 6 9 9 7 6 5]
0,"[-0.38671875  1.79492188  1.90429688  1.64453125  1.63085938 -0.38671875
  1.83203125 -0.15820312  0.953125   -0.19335938]","[0.31835938 0.         0.         1.609375   1.86132812 0.36914062
 0.         0.45507812 2.13671875 0.4140625 ]","[ 0.25390625 -2.0546875   2.11328125  0.65234375  0.21875     0.17578125
  2.30859375 -0.29101562  0.14648438 -0.33007812]",10,[12 49 50 51 53 12 50 12 50 12],"[0.5625   2.296875 2.34375  2.390625 2.484375 0.5625   2.34375  0.5625
 2.34375  0.5625  ]",[ 1  1  1  2 -2 -1 -1  1  1 -1],"[ 0.12526054  0.12526054  0.12526054  0.25052108 -0.25052108 -0.12526054
 -0.12526054  0.12526054  0.12526054 -0.12526054]",[8 6 5 7 7 6 6 5 3 4]
0,[1.8671875  1.64453125 1.59960938 1.64453125 1.5234375  1.70898438],[0.         1.67773438 1.8046875  1.67773438 1.84570312 1.79101562],[-2.05273438 -0.44921875 -0.36132812  0.44921875  0.46679688  0.21289062],6,[49 51 52 51 52 53],[2.296875 2.390625 2.4375   2.390625 2.4375   2.484375],[ 0  2  2  4 -2 -2],[ 0.          0.25052108  0.25052108  0.50104217 -0.25052108 -0.25052108],[ 6 11  8  7  8  9]
0,[1.59960938 1.63085938 1.97851562 1.09960938],[1.81445312 1.87109375 0.         2.06835938],[ 0.3046875  -0.11328125 -1.90429688  0.09375   ],4,[52 53 50 50],[2.4375   2.484375 2.34375  2.34375 ],[-2 -2 -1 -1],[-0.25052108 -0.25052108 -0.12526054 -0.12526054],[8 8 5 3]
0,"[1.8671875  1.90429688 1.79492188 1.83203125 1.68554688 1.71875
 1.67578125 1.56835938 1.67578125 1.56835938 1.75195312 1.79492188]","[0.         0.         0.         0.20703125 1.52734375 1.66210938
 1.7578125  1.8046875  1.76757812 1.77734375 1.69335938 0.        ]","[-1.95898438 -2.20898438 -1.72460938 -1.44921875 -0.56640625  0.03710938
  0.20898438 -0.03125     0.09765625  0.30664062  0.0546875  -1.91796875]",12,[49 50 49 50 50 51 52 51 52 51 52 49],"[2.296875 2.34375  2.296875 2.34375  2.34375  2.390625 2.4375   2.390625
 2.4375   2.390625 2.4375   2.296875]",[ 0  0  1  1  2  2  2  3  3  4 -2 -1],"[ 0.          0.          0.12526054  0.12526054  0.25052108  0.25052108
  0.25052108  0.37578163  0.37578163  0.50104217 -0.25052108 -0.12526054]",[ 8  7  8  9 11 13 10 10  8  8  8  7]
0,"[1.83203125 1.49414062 1.59960938 1.56835938 1.59960938 1.64453125
 1.49414062 1.5234375  1.83203125]","[0.         1.84179688 1.8203125  1.79882812 1.83789062 1.71875
 1.83203125 1.83984375 0.        ]","[-1.61132812  0.29882812  0.26171875  0.13476562  0.08203125  0.24414062
  0.35351562  0.48828125 -1.65234375]",9,[50 51 52 51 52 51 51 52 50],"[2.34375  2.390625 2.4375   2.390625 2.4375   2.390625 2.390625 2.4375
 2.34375 ]",[ 0  2  2  3  3  4  5 -2 -1],"[ 0.          0.25052108  0.25052108  0.37578163  0.37578163  0.50104217
  0.62630271 -0.25052108 -0.12526054]",[ 5 10  9 10  8  8  7  7  8]
0,"[ 1.8671875   1.90429688 -0.31640625  1.79492188  1.83203125  1.7578125
  1.64453125  1.67578125  1.71875     1.68554688  1.64453125  1.56835938
  1.24609375 -0.2578125  -0.28125     1.9375      1.02539062  2.19726562
  1.00585938]","[0.         0.         0.46484375 0.         0.         1.43554688
 1.68164062 1.73632812 1.6015625  1.55859375 1.734375   1.78320312
 1.94726562 0.43554688 0.48046875 0.         2.10546875 0.
 2.01171875]","[-2.07617188 -2.05078125  0.01367188 -2.03320312 -2.33203125  0.5859375
  0.43359375  0.34765625  0.44921875 -0.47851562  0.09570312  0.27539062
  0.38671875 -0.09570312 -0.08398438 -1.8671875   0.109375    2.234375
  0.46679688]",19,[49 50 12 49 50 50 51 52 51 50 51 51 50 11 12 49 50 50 49],"[2.296875 2.34375  0.5625   2.296875 2.34375  2.34375  2.390625 2.4375
 2.390625 2.34375  2.390625 2.390625 2.34375  0.515625 0.5625   2.296875
 2.34375  2.34375  2.296875]",[ 0  0  1  1  1  2  2  2  3  4  4  5 -2 -1 -1 -1  0 -2 -1],"[ 0.          0.          0.12526054  0.12526054  0.12526054  0.25052108
  0.25052108  0.25052108  0.37578163  0.50104217  0.50104217  0.62630271
 -0.25052108 -0.12526054 -0.12526054 -0.12526054  0.         -0.25052108
 -0.12526054]",[ 8  7  9  9 10 13 13 10 12  8 11  9  4  8 10  7  4  3  4]
0,"[ 1.90429688 -0.2421875  -0.28125     1.46484375  1.64453125  1.67578125
  1.39257812  1.56835938  1.59960938  1.71875     1.64453125 -0.2265625
 -0.26367188  1.90429688  1.02539062 -2.34375   ]","[0.         0.44726562 0.48632812 1.81445312 1.734375   1.76953125
 1.84179688 1.72070312 1.80664062 1.515625   1.66992188 0.43164062
 0.47460938 0.         2.08789062 0.        ]","[-2.05078125 -0.08789062 -0.03515625  0.24023438  0.08984375  0.06054688
  0.40429688  0.54492188  0.34179688  0.68359375  0.47460938 -0.16992188
 -0.1484375  -2.21484375  0.29296875 -2.10351562]",16,[50 11 12 50 51 52 50 51 52 51 51 11 12 50 50 50],"[2.34375  0.515625 0.5625   2.34375  2.390625 2.4375   2.34375  2.390625
 2.4375   2.390625 2.390625 0.515625 0.5625   2.34375  2.34375  2.34375 ]",[ 0  1  1  2  2  2  3  3  3  4  5 -1 -1 -1  0  3],"[ 0.          0.12526054  0.12526054  0.25052108  0.25052108  0.25052108
  0.37578163  0.37578163  0.37578163  0.50104217  0.62630271 -0.12526054
 -0.12526054 -0.12526054  0.          0.37578163]",[ 7  8  9  7 12 11  5  9  8  9  8  9  9  8  4  3]
0,"[ 1.72265625  1.90429688 -0.2421875  -0.28125     1.72265625  1.7578125
  1.72265625  1.68554688  1.64453125  1.67578125  1.68554688  1.71875
  1.71875    -0.2421875  -0.26367188  1.79492188]","[0.         0.         0.42773438 0.453125   0.         0.
 0.         1.31445312 1.6796875  1.73632812 1.45117188 1.578125
 1.66015625 0.40429688 0.45117188 0.        ]","[-1.82617188 -1.9453125  -0.15429688 -0.18164062  2.21679688  2.06054688
  1.61914062  0.96289062  0.4375      0.34765625  0.7421875   0.52148438
  0.09570312 -0.20898438 -0.20703125 -1.95898438]",16,[49 50 11 12 49 50 49 50 51 52 50 51 51 11 12 49],"[2.296875 2.34375  0.515625 0.5625   2.296875 2.34375  2.296875 2.34375
 2.390625 2.4375   2.34375  2.390625 2.390625 0.515625 0.5625   2.296875]",[ 0  0  1  1  1  1  2  2  2  2  3  3  4 -1 -1 -1],"[ 0.          0.          0.12526054  0.12526054  0.12526054  0.12526054
  0.25052108  0.25052108  0.25052108  0.25052108  0.37578163  0.37578163
  0.50104217 -0.12526054 -0.12526054 -0.12526054]",[ 7  7  9  9  7  8  7 11 13 10  8 10  8 10 10  8]
